"src_latitude","src_longitude","n"
"51.1197","17.0869","9"
"57.6167","13.5","1"
"18.3833","-88.3833","1"
"36.1705","-81.8412","1"
"49.0113","21.5429","4"
"20.0567","-97.0291","50"
"34.5407","133.7519","113"
"36.8957","-80.3275","2"
"49.545","6.3669","1"
"46.1833","22.6","3"
"2.9927","101.7909","1"
"51.9291","1.0935","1"
"46.1237","21.3842","1"
"41.6208","-99.8644","2"
"45.0667","4.8333","2"
"41.1605","14.2331","1"
"46.275","15.7939","2"
"52.1352","20.9758","3"
"41.2606","-96.1661","2"
"49.6133","8.6539","2"
"-28.45","21.25","2"
"12.1167","-61.6667","69"
"-37.7882","175.2902","1"
"60.0042","15.7932","2"
"39.0702","8.4524","2"
"42.0197","-7.769","2049"
"38.4167","141.3","1"
"-23.6316","-51.5667","1"
"51.0913","16.9899","1"
"38.8591","-94.6314","2"
"14.4837","120.8988","800738"
"29.8782","121.5495","7928829"
"46.7993","130.3163","895742"
"58.5969","49.6583","4120475"
"22.75","73.6333","63711"
"29.6079","115.8872","1357004"
"9.9667","76.2333","3127739"
"37.3417","-121.9753","6161007"
"14.0619","101.5186","100362"
"42.15","24.75","3906611"
"68.9717","33.0819","1473959"
"37.5819","127.0541","2133992"
"36.8833","34.5","1494211"
"-10.9823","-37.1033","2729747"
"23.6061","89.8406","1000"
"41.0641","28.9941","5154830"
"56.4422","60.1878","884134"
"35.7098","139.7392","3145"
"29.3659","47.9828","2556722"
"31.6631","-106.1401","7811"
"10.0333","-67.4833","521162"
"37.7642","-122.3993","4322"
"-27.3833","-55.8833","22065"
"34.6836","112.4536","855113"
"57.6731","66.1725","4333"
"41.0261","14.4651","267949"
"9.9189","-84.1399","615082"
"33.0007","-7.6204","275653"
"-1.7824","-62.2458","117739"
"34.9833","136.9833","591752"
"51.7883","6.1386","381"
"43.2832","5.3718","7776"
"-22.8864","-42.0288","248927"
"40.4237","-79.89","12"
"50.7475","56.5061","4449"
"14.0","-61.0","3076"
"48.4748","44.781","211"
"-23.9393","-51.6014","1862"
"33.7746","-84.3973","12814"
"59.6361","17.0777","206"
"2.3","111.8167","905074"
"-4.05","39.6667","27838"
"-19.0151","-49.5504","321495"
"42.8675","130.3581","176423"
"18.9833","73.1","241768"
"50.6333","13.8333","16892"
"10.0","77.4833","182663"
"48.3206","40.2611","448301"
"30.0421","31.4445","59206"
"35.5065","-108.7414","3312"
"35.7174","139.7473","77297"
"43.5206","68.5094","96554"
"37.0313","-122.1198","757"
"29.1667","75.7167","669279"
"24.1833","86.3","3751"
"34.0322","-118.2836","274324"
"46.6361","131.1539","325223"
"1.5002","103.8273","5505"
"15.4833","-90.3667","1036"
"46.7984","26.5394","1004"
"34.9621","135.142","28797"
"-27.4833","-55.1333","3952"
"39.4814","-0.4394","998"
"-26.3163","-52.5742","1743"
"12.1","-68.9167","7068"
"-27.6118","152.7682","84"
"46.9","19.7833","9110"
"50.011","20.0293","141"
"3.1456","101.645","87430"
"3.1197","101.7275","19846"
"5.3154","-73.8204","1567"
"6.1785","7.0116","4494"
"21.05","105.8833","8938"
"39.9264","32.8888","576397"
"-25.8667","29.2333","582529"
"14.3326","121.0234","4620"
"51.6161","15.3162","10484"
"51.8927","29.337","449000"
"40.8726","-72.5202","113"
"49.9195","-97.1354","1487"
"16.9341","81.9552","2056"
"-7.6897","-48.2815","8"
"48.2106","19.3504","99"
"30.2148","-92.3777","2954"
"18.5014","98.3611","2724"
"57.0586","64.6472","10060"
"59.8585","17.6454","50793"
"35.3503","139.6296","220012"
"-33.9002","151.1986","24129"
