closing_store,city,st
Chapel Hill Mall,Akron,OH
Tri-County Mall,Springdale,OH
Eastland Mall,Columbus,OH
Vineyard Plaza,Eastlake,OH
Midway Mall,Elyria,OH
East Gate S/C,Lima,OH
1932 Lincoln Way E,Massillon,OH
805 Memorial Drive,Lancaster,OH
3390 S High St,Columbus,OH
Knox Village Square,Mount Vernon,OH
2500 Nw 23Rd St,Oklahoma City,OK
2175 S Sheridan Rd,Tulsa,OK
2720 N 14Th St,Ponca City,OK
Springs Village,Sand Springs,OK
Bunker Hill S/C,Altus,OK
321 S Main St,Sapulpa,OK
1720E S Broadway,Edmond,OK
Central Mall,Lawton,OK
7401 S Shields Blvd,Oklahoma City,OK
Edmond Plaza Sc,Edmond,OK
2901 Nw 63Rd St,Oklahoma City,OK
Damann Plaza,Norman,OK
Milwaukie Market Place,Milwaukie,OR
11621 Island Avenue,La Grande,OR
Cascade Commons,Hood River,OR
Pacific Plaza S C,Newport,OR
Pioneer Plaza,Springfield,OR
Washington Crown Center,Washington,PA
Bristol Commerce Plaza,Bristol,PA
Montgomery Square Sc,North Wales,PA
Galleria At Pittsburgh Mills,Tarentum,PA
Wind Gap Plaza,Wind Gap,PA
Rockvale Square,Lancaster,PA
Plank Rd Commons,Altoona,PA
Aliquippa Shopping Center,Aliquippa,PA
997 Wildlife Lodge Rd,Lower Burrell,PA
Countryside Shopping Center,Mount Pleasant,PA
Bradford Town Center,Towanda,PA
El Monte Town Center,Coto Laurel,PR
Barranquitas,Barranquitas,PR
San Lorenzo Shopping Center,San Lorenzo,PR
Plaza Canovanas,Canovanas,PR
Plaza Del Oeste,San German,PR
Calle Munoz Rivera #8,San Sebastian,PR
Plaza Wal-Mart,Guayama,PR
Corozal Sc,Corozal,PR
Western Plaza,Mayaguez,PR
Juncos Plaza,Juncos,PR
Plaza Atenas,Manati,PR
Yankton Mall,Yankton,SD
K Mart Center,Sioux Falls,SD
720 25Th Avenue,Brookings,SD
Columbia Mall,Columbia,TN
3122 Lamar Ave,Memphis,TN
2097 S Highland Ave,Jackson,TN
